step,cells_count,agents_time,per_cell
1,2,0.1249818801879882,0.0624909400939941
2,2,0.1250112056732177,0.06250560283660885
3,2,0.1249752044677734,0.0624876022338867
4,2,0.1406061649322509,0.07030308246612545
5,2,0.1249916553497314,0.0624958276748657
6,2,0.1249763965606689,0.06248819828033445
7,2,0.1249847412109375,0.06249237060546875
8,2,0.1249961853027343,0.06249809265136715
9,2,0.1249997615814209,0.06249988079071045
10,2,0.1874909400939941,0.09374547004699706
11,2,0.1301264762878418,0.0650632381439209
12,2,0.1249969005584716,0.0624984502792358
13,2,0.1249928474426269,0.06249642372131345
14,2,0.1249840259552002,0.0624920129776001
15,2,0.1444494724273681,0.07222473621368405
16,2,0.1836884021759033,0.09184420108795165
17,2,0.1283965110778808,0.0641982555389404
18,2,0.1406402587890625,0.07032012939453125
19,2,0.1250038146972656,0.0625019073486328
20,2,0.1406261920928955,0.07031309604644775
21,2,0.1249961853027343,0.06249809265136715
22,2,0.1928060054779052,0.0964030027389526
23,2,0.1250200271606445,0.06251001358032225
24,2,0.1249754428863525,0.06248772144317625
25,2,0.1435630321502685,0.07178151607513425
26,2,0.1772768497467041,0.08863842487335205
27,2,0.1250007152557373,0.06250035762786865
28,2,0.1264724731445312,0.0632362365722656
29,2,0.1249957084655761,0.06249785423278805
30,2,0.1249725818634033,0.06248629093170165
31,2,0.1324121952056884,0.0662060976028442
32,2,0.127880573272705,0.0639402866363525
33,2,0.1249964237213134,0.0624982118606567
34,2,0.1874845027923584,0.0937422513961792
35,2,0.131265640258789,0.0656328201293945
36,2,0.1249752044677734,0.0624876022338867
37,2,0.125002384185791,0.0625011920928955
38,2,0.1249821186065673,0.06249105930328365
39,2,0.1249959468841552,0.0624979734420776
40,2,0.1936719417572021,0.09683597087860105
41,2,0.1250083446502685,0.06250417232513425
42,2,0.124976634979248,0.062488317489624
43,2,0.1419839859008789,0.07099199295043945
44,2,0.1377031803131103,0.06885159015655515
45,2,0.1265010833740234,0.0632505416870117
46,2,0.1764357089996338,0.0882178544998169
47,2,0.1249947547912597,0.06249737739562985
48,2,0.1275672912597656,0.0637836456298828
49,2,0.134035587310791,0.0670177936553955
50,2,0.1302368640899658,0.0651184320449829
51,2,0.1250128746032714,0.0625064373016357
52,2,0.1874985694885254,0.0937492847442627
53,2,0.1250228881835937,0.06251144409179685
54,2,0.138942003250122,0.069471001625061
55,2,0.1250069141387939,0.06250345706939694
56,2,0.1250128746032714,0.0625064373016357
57,2,0.1249716281890869,0.06248581409454345
58,2,0.1893825531005859,0.09469127655029295
59,2,0.126685619354248,0.063342809677124
60,2,0.1248798370361328,0.0624399185180664
61,2,0.1250150203704834,0.0625075101852417
62,2,0.1297829151153564,0.0648914575576782
63,2,0.138162612915039,0.0690813064575195
64,2,0.1887900829315185,0.09439504146575925
65,2,0.1249656677246093,0.06248283386230465
66,2,0.1249976158142089,0.06249880790710445
67,2,0.1249911785125732,0.0624955892562866
68,2,0.1436591148376464,0.0718295574188232
69,2,0.1249873638153076,0.0624936819076538
70,2,0.1250033378601074,0.0625016689300537
71,2,0.1718556880950927,0.08592784404754635
72,2,0.1384592056274414,0.0692296028137207
73,2,0.126321792602539,0.0631608963012695
74,2,0.1406490802764892,0.0703245401382446
75,2,0.1249678134918212,0.0624839067459106
76,2,0.1250185966491699,0.06250929832458495
77,2,0.1759204864501953,0.08796024322509766
78,2,0.1250169277191162,0.0625084638595581
79,2,0.1296494007110595,0.06482470035552974
80,2,0.140648603439331,0.0703243017196655
81,2,0.1249775886535644,0.0624887943267822
82,2,0.1342637538909912,0.0671318769454956
83,2,0.1406030654907226,0.0703015327453613
84,2,0.1250169277191162,0.0625084638595581
85,2,0.1249845027923584,0.0624922513961792
86,2,0.1309282779693603,0.06546413898468015
87,2,0.1347198486328125,0.06735992431640625
88,2,0.1249783039093017,0.06248915195465085
89,2,0.18754243850708,0.09377121925354
90,2,0.1249678134918212,0.0624839067459106
91,2,0.1292090415954589,0.06460452079772945
92,2,0.1249833106994628,0.0624916553497314
93,2,0.1249797344207763,0.06248986721038815
94,2,0.1406145095825195,0.07030725479125975
95,2,0.1888296604156494,0.0944148302078247
96,2,0.1401336193084716,0.0700668096542358
1,2,0.1249837875366211,0.06249189376831055
2,2,0.1406295299530029,0.07031476497650145
3,2,0.1249806880950927,0.06249034404754635
4,2,0.1406309604644775,0.07031548023223876
5,2,0.1290140151977539,0.06450700759887695
6,2,0.1437315940856933,0.07186579704284665
7,2,0.1249759197235107,0.06248795986175535
8,2,0.1249680519104003,0.06248402595520015
9,2,0.143176794052124,0.071588397026062
10,2,0.1889350414276123,0.09446752071380615
11,2,0.1249740123748779,0.06248700618743895
12,2,0.1349568367004394,0.0674784183502197
13,2,0.1377573013305664,0.0688786506652832
14,2,0.1406075954437255,0.07030379772186275
15,2,0.1406044960021972,0.0703022480010986
16,2,0.1874961853027343,0.09374809265136715
17,2,0.1249768733978271,0.06248843669891355
18,2,0.1562511920928955,0.07812559604644775
19,2,0.1406278610229492,0.0703139305114746
20,2,0.1406364440917968,0.0703182220458984
21,2,0.1300840377807617,0.06504201889038085
22,2,0.1874959468841552,0.0937479734420776
23,2,0.1406471729278564,0.0703235864639282
24,2,0.1406266689300537,0.07031333446502686
25,2,0.1406226158142089,0.07031130790710445
26,2,0.1380093097686767,0.06900465488433835
27,2,0.1406152248382568,0.0703076124191284
28,2,0.1375958919525146,0.0687979459762573
29,2,0.1486434936523437,0.07432174682617185
30,2,0.144801378250122,0.072400689125061
31,2,0.1406393051147461,0.07031965255737305
32,2,0.1406428813934326,0.0703214406967163
33,2,0.1406328678131103,0.07031643390655515
34,2,0.1874938011169433,0.09374690055847165
35,2,0.1360080242156982,0.0680040121078491
36,2,0.1406188011169433,0.07030940055847165
37,2,0.1406333446502685,0.07031667232513425
38,2,0.1282360553741455,0.06411802768707275
39,2,0.1432819366455078,0.0716409683227539
40,2,0.1888008117675781,0.09440040588378905
41,2,0.1406421661376953,0.07032108306884766
42,2,0.1406130790710449,0.07030653953552245
43,2,0.1406216621398925,0.07031083106994625
44,2,0.1327877044677734,0.0663938522338867
45,2,0.1406290531158447,0.07031452655792235
46,2,0.1875030994415283,0.09375154972076415
47,2,0.1405999660491943,0.07029998302459715
48,2,0.1450192928314209,0.07250964641571045
49,2,0.1406235694885254,0.0703117847442627
50,2,0.1406102180480957,0.07030510902404785
51,2,0.1406276226043701,0.07031381130218504
52,2,0.1509335041046142,0.0754667520523071
53,2,0.1419394016265869,0.07096970081329344
54,2,0.1301717758178711,0.06508588790893555
55,2,0.1406290531158447,0.07031452655792235
56,2,0.1406295299530029,0.07031476497650145
57,2,0.1454806327819824,0.0727403163909912
58,2,0.187507152557373,0.0937535762786865
59,2,0.1250555515289306,0.0625277757644653
60,2,0.1406278610229492,0.0703139305114746
61,2,0.1455104351043701,0.07275521755218504
62,2,0.1406288146972656,0.0703144073486328
63,2,0.1406226158142089,0.07031130790710445
64,2,0.187502384185791,0.0937511920928955
65,2,0.1406230926513672,0.0703115463256836
66,2,0.126213788986206,0.063106894493103
67,2,0.1406276226043701,0.07031381130218504
68,2,0.1406264305114746,0.0703132152557373
69,2,0.1406257152557373,0.07031285762786865
70,2,0.1909019947052002,0.0954509973526001
71,2,0.1393029689788818,0.0696514844894409
72,2,0.1250042915344238,0.0625021457672119
73,2,0.1406257152557373,0.07031285762786865
74,2,0.131127119064331,0.0655635595321655
75,2,0.1264560222625732,0.0632280111312866
76,2,0.140620470046997,0.0703102350234985
77,2,0.1405661106109619,0.07028305530548094
78,2,0.1406266689300537,0.07031333446502686
79,2,0.1298134326934814,0.0649067163467407
80,2,0.1406161785125732,0.0703080892562866
81,2,0.1406235694885254,0.0703117847442627
82,2,0.1874887943267822,0.0937443971633911
83,2,0.1416933536529541,0.07084667682647705
84,2,0.1419196128845214,0.0709598064422607
85,2,0.1406047344207763,0.07030236721038816
86,2,0.1440629959106445,0.07203149795532225
87,2,0.142125129699707,0.0710625648498535
88,2,0.1940743923187255,0.09703719615936275
89,2,0.1369590759277343,0.06847953796386715
