cells_count,sim_time,per_cell
2,47.622854232788086,23.811427116394043
3,60.718544244766235,20.239514748255413
4,76.80900883674622,19.202252209186554
5,94.78475856781006,18.956951713562013
6,107.87326741218567,17.978877902030945
7,121.86762428283691,17.409660611833846
8,144.45480489730835,18.056850612163544
9,161.73221898078918,17.97024655342102
10,176.70698809623718,17.67069880962372
11,198.06802582740784,18.006184166127984
12,217.1418285369873,18.095152378082275
13,240.00709009170532,18.462083853208103
14,255.9860074520111,18.284714818000793
15,278.23204803466797,18.5488032023112
16,298.8016140460968,18.67510087788105
