step,cells_count,step_time,per_cell
1,2,0.1330230236053466,0.0665115118026733
2,2,0.2175652980804443,0.10878264904022215
3,2,0.1511945724487304,0.0755972862243652
4,2,0.1293973922729492,0.0646986961364746
5,2,0.1646816730499267,0.08234083652496335
6,2,0.138636827468872,0.069318413734436
7,2,0.1327657699584961,0.06638288497924805
8,2,0.2006924152374267,0.10034620761871335
9,2,0.1630270481109619,0.08151352405548094
10,2,0.1497857570648193,0.07489287853240965
11,2,0.1495161056518554,0.0747580528259277
12,2,0.1457223892211914,0.0728611946105957
13,2,0.1487603187561035,0.07438015937805174
14,2,0.1975626945495605,0.09878134727478025
15,2,0.1523966789245605,0.07619833946228025
16,2,0.1792023181915283,0.08960115909576415
17,2,0.146672248840332,0.073336124420166
18,2,0.149562120437622,0.074781060218811
19,2,0.1526646614074707,0.07633233070373535
20,2,0.1986284255981445,0.09931421279907225
21,2,0.148944616317749,0.0744723081588745
22,2,0.1629493236541748,0.0814746618270874
23,2,0.1509706974029541,0.07548534870147705
24,2,0.1420454978942871,0.07102274894714355
25,2,0.1488776206970214,0.0744388103485107
26,2,0.2043921947479248,0.1021960973739624
27,2,0.1518843173980713,0.07594215869903564
28,2,0.1322264671325683,0.06611323356628415
29,2,0.167396068572998,0.083698034286499
30,2,0.15138840675354,0.07569420337677
31,2,0.1487195491790771,0.07435977458953855
32,2,0.1459889411926269,0.07299447059631345
33,2,0.2249617576599121,0.11248087882995605
34,2,0.151097297668457,0.0755486488342285
35,2,0.1495401859283447,0.07477009296417235
36,2,0.158522367477417,0.0792611837387085
37,2,0.1540365219116211,0.07701826095581055
38,2,0.1439268589019775,0.07196342945098876
39,2,0.1793127059936523,0.08965635299682614
40,2,0.2376308441162109,0.11881542205810545
41,2,0.2388956546783447,0.11944782733917235
42,2,0.2392520904541015,0.11962604522705075
43,2,0.2392477989196777,0.11962389945983885
44,2,0.2366538047790527,0.11832690238952635
45,2,0.3022999763488769,0.15114998817443845
46,2,0.2377943992614746,0.1188971996307373
47,2,0.227989912033081,0.1139949560165405
48,2,0.2317454814910888,0.1158727407455444
49,2,0.2365949153900146,0.1182974576950073
50,2,0.2350609302520752,0.1175304651260376
51,2,0.2855079174041748,0.1427539587020874
52,2,0.2262287139892578,0.1131143569946289
53,2,0.2246179580688476,0.1123089790344238
54,2,0.2333667278289795,0.11668336391448975
55,2,0.2364320755004882,0.1182160377502441
56,2,0.2295360565185547,0.11476802825927734
57,2,0.2248427867889404,0.1124213933944702
58,2,0.2400364875793457,0.12001824378967285
59,2,0.2284691333770752,0.1142345666885376
60,2,0.2359242439270019,0.11796212196350095
61,2,0.2274014949798584,0.1137007474899292
62,2,0.22446870803833,0.112234354019165
63,2,0.2895424365997314,0.1447712182998657
64,2,0.2227442264556884,0.1113721132278442
65,2,0.2350661754608154,0.1175330877304077
66,2,0.2359788417816162,0.1179894208908081
67,2,0.2362310886383056,0.1181155443191528
68,2,0.2299604415893554,0.1149802207946777
69,2,0.300278902053833,0.1501394510269165
70,2,0.2361125946044922,0.1180562973022461
71,2,0.2303898334503173,0.11519491672515865
72,2,0.2378780841827392,0.1189390420913696
73,2,0.2375197410583496,0.1187598705291748
74,2,0.2395954132080078,0.1197977066040039
75,2,0.3122532367706299,0.15612661838531494
76,2,0.2327547073364257,0.11637735366821285
77,2,0.2337076663970947,0.11685383319854735
78,2,0.2447454929351806,0.1223727464675903
79,2,0.2319331169128418,0.1159665584564209
80,2,0.2389030456542968,0.1194515228271484
81,2,0.3055863380432129,0.15279316902160645
82,2,0.2523634433746338,0.1261817216873169
83,2,0.2351758480072021,0.11758792400360105
84,2,0.2279078960418701,0.11395394802093504
85,2,0.2364063262939453,0.11820316314697266
86,2,0.2391867637634277,0.11959338188171385
87,2,0.2415797710418701,0.12078988552093504
88,2,0.3096687793731689,0.15483438968658444
89,2,0.2366824150085449,0.11834120750427245
90,2,0.2413070201873779,0.12065351009368895
91,2,0.2280669212341308,0.1140334606170654
92,2,0.2328383922576904,0.1164191961288452
93,2,0.2318284511566162,0.1159142255783081
94,2,0.3025591373443603,0.15127956867218015
95,2,0.2301239967346191,0.11506199836730956
96,2,0.2242805957794189,0.11214029788970944
1,3,0.451106309890747,0.15036876996358234
2,3,0.3645608425140381,0.1215202808380127
3,3,0.366835355758667,0.12227845191955566
4,3,0.3764505386352539,0.12548351287841797
5,3,0.4451780319213867,0.1483926773071289
6,3,0.3666901588439941,0.12223005294799803
7,3,0.364612340927124,0.12153744697570801
8,3,0.4315268993377685,0.14384229977925617
