date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-5-value,GridSim-0.Bus-2-value,GridSim-0.Bus-3-value,GridSim-0.Bus-1-value,GridSim-0.Bus-4-value,GridSim-0.Bus-0-value,GridSim-0.ExternalGrid-0-value
2016-01-01 00:00:00,0,0,2.2533364295959473,-6.308323369195179,4.218137014777376,-2.0635239769717373,0.0,4.153970068342071,-0.0457796803470615,0.0457796803470615
2016-01-01 00:00:01,0.0457796803470615,0,0.022751808166503906,-6.308323369195179,4.218137014777376,-2.0635239769717373,0.0,4.153970068342071,-0.0457796803470615,0.0457796803470615
2016-01-01 00:15:00,0.0457796803470615,0,2.3828718662261963,-6.047425876105627,3.753031847802021,-2.1224091009885986,0.0,4.417392726603666,-0.04421718277806009,0.04421718277806009
2016-01-01 00:15:01,0.04421718277806009,0,0.015909910202026367,-6.047425876105627,3.753031847802021,-2.1224091009885986,0.0,4.417392726603666,-0.04421718277806009,0.04421718277806009
2016-01-01 00:30:00,0.04421718277806009,0,3.2123899459838867,-5.803255641674276,3.507331283624581,-2.112211731090135,0.0,4.40491978255009,-0.03834326511757104,0.03834326511757104
2016-01-01 00:30:01,0.03834326511757104,0,0.015736103057861328,-5.803255641674276,3.507331283624581,-2.112211731090135,0.0,4.40491978255009,-0.03834326511757104,0.03834326511757104
2016-01-01 00:45:00,0.03834326511757104,0,2.455005168914795,-6.336233791408574,4.075053236918285,-2.1355613858915348,0.0,4.400767189410798,-0.050224207805486025,0.050224207805486025
2016-01-01 00:45:01,0.050224207805486025,0,0.015627384185791016,-6.336233791408574,4.075053236918285,-2.1355613858915348,0.0,4.400767189410798,-0.050224207805486025,0.050224207805486025
2016-01-01 01:00:00,0.050224207805486025,0,2.8257076740264893,-5.676167848345237,4.136015917124718,-2.0839189440959363,0.0,3.6160728543779737,-0.03223179791068061,0.03223179791068061
2016-01-01 01:00:01,0.03223179791068061,0,0.03291797637939453,-5.676167848345237,4.136015917124718,-2.0839189440959363,0.0,3.6160728543779737,-0.03223179791068061,0.03223179791068061
