date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-5-value,GridSim-0.Bus-3-value,GridSim-0.Bus-1-value,GridSim-0.Bus-0-value,GridSim-0.Bus-4-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-2-value
2016-01-01 00:00:00,0,0,4.066330432891846,-5.823741504480395,-2.0635239769717373,0.0,-0.5278814485615188,4.153970068342071,0.5278814485615188,4.218137014777376
2016-01-01 00:00:01,0.5278814485615188,0,0.015718936920166016,-5.823741504480395,-2.0635239769717373,0.0,-0.5278814485615188,4.153970068342071,0.5278814485615188,4.218137014777376
2016-01-01 00:15:00,0.5278814485615188,0,3.1475632190704346,-5.944227422043369,-2.122409100988598,0.0,-0.14689041747010037,4.417392726603666,0.14689041747010037,3.753031847802021
2016-01-01 00:15:01,0.14689041747010037,0,0.031161069869995117,-5.944227422043369,-2.122409100988598,0.0,-0.14689041747010037,4.417392726603666,0.14689041747010037,3.753031847802021
2016-01-01 00:30:00,0.14689041747010037,0,4.057484865188599,-5.637285908797196,-2.112211731080116,0.0,-0.20350761459920616,4.40491978255009,0.20350761459920616,3.507331283624581
2016-01-01 00:30:01,0.20350761459920616,0,0.03114485740661621,-5.637285908797196,-2.112211731080116,0.0,-0.20350761459920616,4.40491978255009,0.20350761459920616,3.507331283624581
2016-01-01 00:45:00,0.20350761459920616,0,4.305967092514038,-6.342413035445027,-2.1355613858897726,0.0,-0.04407825182274582,4.400767189410798,0.04407825182274582,4.075053236918285
2016-01-01 00:45:01,0.04407825182274582,0,0.031131982803344727,-6.342413035445027,-2.1355613858897726,0.0,-0.04407825182274582,4.400767189410798,0.04407825182274582,4.075053236918285
2016-01-01 01:00:00,0.04407825182274582,0,3.9271128177642822,-5.624086105147086,-2.083918944086882,0.0,-0.0840633700970489,3.6160728543779737,0.0840633700970489,4.136015917124718
2016-01-01 01:00:01,0.0840633700970489,0,0.03130626678466797,-5.624086105147086,-2.083918944086882,0.0,-0.0840633700970489,3.6160728543779737,0.0840633700970489,4.136015917124718
