date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-4-value,GridSim-0.Bus-0-value,GridSim-0.Bus-2-value,GridSim-0.Bus-5-value,GridSim-0.Bus-1-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-3-value
2016-01-01 00:00:00,0,0,0.2506141662597656,4.153970068342071,-1.2481874518490979,4.218137014777376,-3.699273944088299,0.0,1.2481874518490979,-3.4624660112930092
2016-01-01 00:00:01,1.2481874518490979,0,0.05830788612365723,4.153970068342071,-1.2481874518490979,4.218137014777376,-3.699273944088299,0.0,1.2481874518490979,-3.4624660112930092
2016-01-01 00:15:00,1.2481874518490979,0,0.5558853149414062,4.417392726603666,-1.295210630845103,3.753031847802021,-3.469556014470312,0.0,1.295210630845103,-3.4420989730798275
2016-01-01 00:15:01,1.295210630845103,0,0.06637001037597656,4.417392726603666,-1.295210630845103,3.753031847802021,-3.469556014470312,0.0,1.295210630845103,-3.4420989730798275
2016-01-01 00:30:00,1.295210630845103,0,0.8538668155670166,4.40491978255009,-1.5252726472920464,3.507331283624581,-3.864515758954935,0.0,1.5252726472920464,-2.5571067101017073
2016-01-01 00:30:01,1.5252726472920464,0,0.04687643051147461,4.40491978255009,-1.5252726472920464,3.507331283624581,-3.864515758954935,0.0,1.5252726472920464,-2.5571067101017073
2016-01-01 00:45:00,1.5252726472920464,0,0.8388924598693848,4.400767189410798,-1.5315572283517473,4.075053236918285,-3.311366411130108,0.0,1.5315572283517473,-3.6706529918923376
2016-01-01 00:45:01,1.5315572283517473,0,0.03433847427368164,4.400767189410798,-1.5315572283517473,4.075053236918285,-3.311366411130108,0.0,1.5315572283517473,-3.6706529918923376
2016-01-01 01:00:00,1.5315572283517473,0,0.7487022876739502,3.6160728543779737,-1.352740628232589,4.136015917124718,-3.3394789113088383,0.0,1.352740628232589,-3.093495681285379
2016-01-01 01:00:01,1.352740628232589,0,0.0811913013458252,3.6160728543779737,-1.352740628232589,4.136015917124718,-3.3394789113088383,0.0,1.352740628232589,-3.093495681285379
