date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-0-value,GridSim-0.Bus-5-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-2-value,GridSim-0.Bus-1-value,GridSim-0.Bus-4-value,GridSim-0.Bus-3-value
2016-01-01 00:00:00,0,0,2.2810144424438477,0.733027046516081,-4.629126182376098,-0.733027046516081,4.218137014777376,0.0,4.153970068342071,-4.5206541808751055
2016-01-01 00:00:01,0,0.733027046516081,0.024733304977416992,0.733027046516081,-4.629126182376098,-0.733027046516081,4.218137014777376,0.0,4.153970068342071,-4.5206541808751055
2016-01-01 00:15:00,0,0.733027046516081,3.048675060272217,0.7794163985931382,-4.4783410643045585,-0.7794163985931382,3.753031847802021,0.0,4.417392726603666,-4.514918600144746
2016-01-01 00:15:01,0,0.7794163985931382,0.015714168548583984,0.7794163985931382,-4.4783410643045585,-0.7794163985931382,3.753031847802021,0.0,4.417392726603666,-4.514918600144746
2016-01-01 00:30:00,0,0.7794163985931382,2.698021650314331,-0.9172716552802533,-4.482298144288244,0.9172716552802533,3.507331283624581,0.0,4.40491978255009,-2.549389323527329
2016-01-01 00:30:01,0.9172716552802533,0,0.027396440505981445,-0.9172716552802533,-4.482298144288244,0.9172716552802533,3.507331283624581,0.0,4.40491978255009,-2.549389323527329
2016-01-01 00:45:00,0.9172716552802533,0,2.6587467193603516,0.6209378048093446,-4.410456806649421,-0.6209378048093446,4.075053236918285,0.0,4.400767189410798,-4.731323046907043
2016-01-01 00:45:01,0,0.6209378048093446,0.015626192092895508,0.6209378048093446,-4.410456806649421,-0.6209378048093446,4.075053236918285,0.0,4.400767189410798,-4.731323046907043
2016-01-01 01:00:00,0,0.6209378048093446,2.8936755657196045,0.7109092475410651,-4.351046773156675,-0.7109092475410651,4.136015917124718,0.0,3.6160728543779737,-4.152066083031869
2016-01-01 01:00:01,0,0.7109092475410651,0.03247809410095215,0.7109092475410651,-4.351046773156675,-0.7109092475410651,4.136015917124718,0.0,3.6160728543779737,-4.152066083031869
