date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-4-value,GridSim-0.Bus-5-value,GridSim-0.Bus-0-value,GridSim-0.Bus-1-value,GridSim-0.Bus-3-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-2-value
2016-01-01 00:00:00,0,0,0.35859155654907227,4.153970068342071,-4.301892720185497,-0.04170637420153081,0.0,-4.0702143629339504,0.04170637420153081,4.218137014777376
2016-01-01 00:00:01,0.04170637420153081,0,0.12445068359375,4.153970068342071,-4.301892720185497,-0.04170637420153081,0.0,-4.0702143629339504,0.04170637420153081,4.218137014777376
2016-01-01 00:15:00,0.04170637420153081,0,0.3446221351623535,4.417392726603666,-4.081087411503116,-0.040357690070923366,0.0,-4.08933716290257,0.040357690070923366,3.753031847802021
2016-01-01 00:15:01,0.040357690070923366,0,0.06249856948852539,4.417392726603666,-4.081087411503116,-0.040357690070923366,0.0,-4.08933716290257,0.040357690070923366,3.753031847802021
2016-01-01 00:30:00,0.040357690070923366,0,0.3485829830169678,4.40491978255009,-3.357440156003223,-0.03895892081494884,0.0,-4.554810910171447,0.03895892081494884,3.507331283624581
2016-01-01 00:30:01,0.03895892081494884,0,0.0829610824584961,4.40491978255009,-3.357440156003223,-0.03895892081494884,0.0,-4.554810910171447,0.03895892081494884,3.507331283624581
2016-01-01 00:45:00,0.03895892081494884,0,0.3830077648162842,4.400767189410798,-3.8783502117992947,-0.042576961759248376,0.0,-4.597470214529788,0.042576961759248376,4.075053236918285
2016-01-01 00:45:01,0.042576961759248376,0,0.0668797492980957,4.400767189410798,-3.8783502117992947,-0.042576961759248376,0.0,-4.597470214529788,0.042576961759248376,4.075053236918285
2016-01-01 01:00:00,0.042576961759248376,0,0.38326191902160645,3.6160728543779737,-3.57537206004776,-0.037538184725125316,0.0,-4.176716711454931,0.037538184725125316,4.136015917124718
2016-01-01 01:00:01,0.037538184725125316,0,0.06877803802490234,3.6160728543779737,-3.57537206004776,-0.037538184725125316,0.0,-4.176716711454931,0.037538184725125316,4.136015917124718
