cells_count,hierarchy_depth,sim_time,per_cell,per_level
5,1,108.29083490371704,21.65816698074341,108.29083490371704
5,2,101.72587132453918,20.345174264907836,50.86293566226959
5,4,101.6677634716034,20.33355269432068,25.41694086790085
5,6,106.04850959777832,21.209701919555663,17.67475159962972
5,8,109.00423955917358,21.800847911834715,13.625529944896698
5,10,114.21337389945984,22.84267477989197,11.421337389945984
15,1,367.03153896331787,24.46876926422119,367.03153896331787
15,2,351.9038550853729,23.460257005691528,175.95192754268646
15,4,356.0200915336609,23.734672768910727,89.00502288341522
15,6,370.5155167579651,24.701034450531004,61.752586126327515
15,8,386.46847343444824,25.76456489562988,48.30855917930603
15,10,407.7479362487793,27.18319574991862,40.77479362487793
20,1,526.9493083953857,26.347465419769286,526.9493083953857
20,2,502.0591330528259,25.102956652641296,251.02956652641296
20,4,515.8898305892944,25.79449152946472,128.9724576473236
20,6,536.2417109012604,26.81208554506302,89.3736184835434
20,8,564.6025102138519,28.230125510692595,70.57531377673149
20,10,586.7445948123932,29.33722974061966,58.67445948123932
30,1,891.605574131012,29.720185804367066,891.605574131012
30,2,872.4214730262756,29.08071576754252,436.2107365131378
30,4,882.1939723491669,29.40646574497223,220.54849308729172
30,6,925.180412530899,30.8393470843633,154.1967354218165
30,8,968.9220745563507,32.29740248521169,121.11525931954384
30,10,1014.4844543933868,33.816148479779564,101.44844543933868
40,1,1320.4377284049988,33.01094321012497,1320.4377284049988
40,2,1288.7476148605347,32.21869037151337,644.3738074302673
40,4,1332.108652830124,33.3027163207531,333.027163207531
40,6,1393.2067308425903,34.83016827106476,232.2011218070984
40,8,1470.3410923480988,36.75852730870247,183.79263654351234
40,10,1541.4390938282013,38.535977345705035,154.14390938282014
50,1,1824.1299171447754,36.48259834289551,1824.1299171447754
50,2,1807.0432059764862,36.14086411952972,903.5216029882431
50,4,1861.970501422882,37.23941002845764,465.4926253557205
50,6,1948.0355384349823,38.96071076869965,324.6725897391637
50,8,2057.4220082759857,41.148440165519716,257.1777510344982
50,10,2165.2593519687653,43.305187039375305,216.52593519687653
