step,cells_count,hierarchy_depth,agents_time,per_cell,per_level
1,5,1,0.5908427238464355,0.1181685447692871,0.5908427238464355
2,5,1,0.684664249420166,0.1369328498840332,0.684664249420166
3,5,1,0.5857901573181152,0.11715803146362305,0.5857901573181152
4,5,1,0.6913692951202393,0.13827385902404785,0.6913692951202393
5,5,1,0.5877633094787598,0.11755266189575195,0.5877633094787598
6,5,1,0.6740562915802002,0.13481125831604004,0.6740562915802002
7,5,1,0.6807527542114258,0.13615055084228517,0.6807527542114258
8,5,1,0.5811309814453125,0.1162261962890625,0.5811309814453125
9,5,1,0.679804801940918,0.1359609603881836,0.679804801940918
10,5,1,0.5864145755767822,0.11728291511535645,0.5864145755767822
11,5,1,0.6750671863555908,0.13501343727111817,0.6750671863555908
12,5,1,0.5858654975891113,0.11717309951782226,0.5858654975891113
13,5,1,0.6808028221130371,0.13616056442260743,0.6808028221130371
14,5,1,0.5863299369812012,0.11726598739624024,0.5863299369812012
15,5,1,0.6764476299285889,0.13528952598571778,0.6764476299285889
16,5,1,0.6769571304321289,0.1353914260864258,0.6769571304321289
17,5,1,0.5825974941253662,0.11651949882507324,0.5825974941253662
18,5,1,0.6758072376251221,0.1351614475250244,0.6758072376251221
19,5,1,0.5866215229034424,0.11732430458068847,0.5866215229034424
20,5,1,0.6804757118225098,0.13609514236450196,0.6804757118225098
21,5,1,0.5832540988922119,0.11665081977844238,0.5832540988922119
22,5,1,0.6833138465881348,0.13666276931762694,0.6833138465881348
23,5,1,0.6803293228149414,0.13606586456298828,0.6803293228149414
24,5,1,0.5801351070404053,0.11602702140808105,0.5801351070404053
25,5,1,0.6754260063171387,0.13508520126342774,0.6754260063171387
26,5,1,0.5805814266204834,0.11611628532409668,0.5805814266204834
27,5,1,0.6785411834716797,0.13570823669433593,0.6785411834716797
28,5,1,0.5895154476165771,0.11790308952331544,0.5895154476165771
29,5,1,0.6758508682250977,0.13517017364501954,0.6758508682250977
30,5,1,0.6778342723846436,0.1355668544769287,0.6778342723846436
31,5,1,0.5817379951477051,0.11634759902954102,0.5817379951477051
32,5,1,0.6851298809051514,0.13702597618103027,0.6851298809051514
33,5,1,0.5887715816497803,0.11775431632995606,0.5887715816497803
34,5,1,0.6810719966888428,0.13621439933776855,0.6810719966888428
35,5,1,0.5836431980133057,0.11672863960266114,0.5836431980133057
36,5,1,0.6808788776397705,0.1361757755279541,0.6808788776397705
37,5,1,0.6828155517578125,0.1365631103515625,0.6828155517578125
38,5,1,0.5894393920898438,0.11788787841796874,0.5894393920898438
39,5,1,0.6924753189086914,0.1384950637817383,0.6924753189086914
40,5,1,0.5832183361053467,0.11664366722106934,0.5832183361053467
41,5,1,0.6760814189910889,0.13521628379821776,0.6760814189910889
42,5,1,0.5855104923248291,0.11710209846496582,0.5855104923248291
43,5,1,0.679915189743042,0.1359830379486084,0.679915189743042
44,5,1,0.6834073066711426,0.1366814613342285,0.6834073066711426
45,5,1,0.5865359306335449,0.11730718612670898,0.5865359306335449
46,5,1,0.6860618591308594,0.13721237182617188,0.6860618591308594
47,5,1,0.5852055549621582,0.11704111099243164,0.5852055549621582
48,5,1,0.6827948093414307,0.13655896186828614,0.6827948093414307
49,5,1,0.5838079452514648,0.11676158905029296,0.5838079452514648
50,5,1,0.6857175827026367,0.13714351654052734,0.6857175827026367
51,5,1,0.6856820583343506,0.13713641166687013,0.6856820583343506
52,5,1,0.5862727165222168,0.11725454330444336,0.5862727165222168
53,5,1,0.6804296970367432,0.13608593940734864,0.6804296970367432
54,5,1,0.5862877368927002,0.11725754737854004,0.5862877368927002
55,5,1,0.6751940250396729,0.13503880500793458,0.6751940250396729
56,5,1,0.5903096199035645,0.11806192398071289,0.5903096199035645
57,5,1,0.6769113540649414,0.1353822708129883,0.6769113540649414
58,5,1,0.6769909858703613,0.13539819717407225,0.6769909858703613
59,5,1,0.5870721340179443,0.11741442680358886,0.5870721340179443
60,5,1,0.6843235492706299,0.13686470985412597,0.6843235492706299
61,5,1,0.5893545150756836,0.11787090301513672,0.5893545150756836
62,5,1,0.6819922924041748,0.13639845848083496,0.6819922924041748
63,5,1,0.582435131072998,0.11648702621459961,0.582435131072998
64,5,1,0.6807160377502441,0.13614320755004883,0.6807160377502441
65,5,1,0.6751782894134521,0.13503565788269042,0.6751782894134521
66,5,1,0.5830981731414795,0.1166196346282959,0.5830981731414795
67,5,1,0.6757261753082275,0.1351452350616455,0.6757261753082275
68,5,1,0.5890023708343506,0.11780047416687012,0.5890023708343506
69,5,1,0.677839994430542,0.1355679988861084,0.677839994430542
70,5,1,0.5882923603057861,0.11765847206115723,0.5882923603057861
71,5,1,0.6771674156188965,0.13543348312377929,0.6771674156188965
72,5,1,0.6758894920349121,0.1351778984069824,0.6758894920349121
73,5,1,0.5791599750518799,0.11583199501037597,0.5791599750518799
74,5,1,0.6810817718505859,0.1362163543701172,0.6810817718505859
75,5,1,0.5862562656402588,0.11725125312805176,0.5862562656402588
76,5,1,0.6752023696899414,0.1350404739379883,0.6752023696899414
77,5,1,0.5825080871582031,0.11650161743164063,0.5825080871582031
78,5,1,0.6773169040679932,0.13546338081359863,0.6773169040679932
79,5,1,0.6803555488586426,0.1360711097717285,0.6803555488586426
80,5,1,0.5857460498809814,0.1171492099761963,0.5857460498809814
81,5,1,0.6893649101257324,0.13787298202514647,0.6893649101257324
82,5,1,0.5864508152008057,0.11729016304016113,0.5864508152008057
83,5,1,0.6777584552764893,0.13555169105529785,0.6777584552764893
84,5,1,0.5856773853302002,0.11713547706604004,0.5856773853302002
