step,cells_count,hierarchy_depth,agents_time
56,5,1,2.5151870250701904
57,5,1,2.577654838562012
58,5,1,2.527040481567383
59,5,1,2.494908571243286
60,5,1,2.508214235305786
61,5,1,2.6176328659057617
62,5,1,2.609931468963623
63,5,1,2.5121378898620605
64,5,1,2.499788522720337
65,5,1,2.5378432273864746
66,5,1,2.51755166053772
67,5,1,2.520394802093506
68,5,1,2.6264185905456543
69,5,1,2.520227432250977
70,5,1,2.5196726322174072
71,5,1,2.5485329627990723
72,5,1,2.532170057296753
73,5,1,2.6513149738311768
74,5,1,2.54178786277771
75,5,1,2.537804365158081
76,5,1,2.556385040283203
77,5,1,2.639431953430176
78,5,1,2.519843101501465
79,5,1,2.5177929401397705
80,5,1,2.4983372688293457
81,5,1,2.5026724338531494
82,5,1,2.497164249420166
83,5,1,2.516180515289306
84,5,1,2.4964380264282227
85,5,1,2.520512104034424
86,5,1,2.508901357650757
87,5,1,2.8042004108428955
88,5,1,2.514410972595215
89,5,1,2.5333309173583984
90,5,1,2.5265426635742188
91,5,1,2.5383002758026123
92,5,1,2.530839204788208
93,5,1,2.530867338180542
94,5,1,2.565075397491455
95,5,1,2.54827880859375
96,5,1,2.5263116359710693
97,5,1,2.5018231868743896
98,5,1,2.525355577468872
99,5,1,2.5037522315979004
100,5,1,2.5172231197357178
101,5,1,2.527858257293701
102,5,1,2.5204689502716064
103,5,1,2.5173022747039795
104,5,1,2.527345657348633
105,5,1,2.517291307449341
106,5,1,2.5019543170928955
107,5,1,2.509133100509644
108,5,1,2.5059595108032227
109,5,1,2.52475905418396
110,5,1,2.4986331462860107
111,5,1,2.5593857765197754
112,5,1,2.550262928009033
113,5,1,2.574178695678711
114,5,1,2.525197982788086
115,5,1,2.526063203811645
116,5,1,2.507988452911377
117,5,1,2.4989960193634038
118,5,1,2.4966306686401367
119,5,1,2.4992823600769043
120,5,1,2.5032334327697754
121,5,1,2.5046157836914062
122,5,1,2.590781211853028
123,5,1,2.5579700469970703
124,5,1,2.5546462535858154
125,5,1,2.539523839950561
126,5,1,2.6081223487854004
127,5,1,2.586910963058472
128,5,1,2.5473458766937256
129,5,1,2.524768829345703
130,5,1,2.541576623916626
131,5,1,2.544696092605591
132,5,1,2.560469627380371
133,5,1,2.5369694232940674
134,5,1,2.580282211303711
135,5,1,2.519614219665528
136,5,1,2.518149852752685
137,5,1,2.503203153610229
138,5,1,2.499043226242065
139,5,1,2.514490365982056
140,5,1,2.5083982944488525
141,5,1,2.531574487686157
142,5,1,2.5060722827911377
143,5,1,2.494914054870605
144,5,1,2.535841464996338
145,5,1,2.5623891353607178
146,5,1,2.6775665283203125
147,5,1,2.700913429260254
148,5,1,2.590198278427124
149,5,1,2.65832781791687
150,5,1,2.7327752113342285
151,5,1,2.543036699295044
152,5,1,2.532862901687622
153,5,1,2.533684492111206
154,5,1,2.520962715148926
155,5,1,2.503738641738892
156,5,1,2.613780975341797
157,5,1,2.510226964950561
158,5,1,2.500496625900269
159,5,1,2.505833864212036
160,5,1,2.6112523078918457
161,5,1,2.5029804706573486
162,5,1,2.495114803314209
163,5,1,2.500825881958008
164,5,1,2.600682258605957
165,5,1,2.5166211128234863
166,5,1,2.533026695251465
167,5,1,2.55022931098938
168,5,1,2.6990108489990234
169,5,1,2.557424783706665
170,5,1,2.541391372680664
171,5,1,2.512416124343872
172,5,1,2.6767938137054443
173,5,1,2.503920793533325
174,5,1,2.5041418075561523
175,5,1,2.6184327602386475
176,5,1,2.566637754440308
