date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-2-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-5-value,GridSim-0.Bus-3-value,GridSim-0.Bus-4-value,GridSim-0.Bus-1-value,GridSim-0.Bus-0-value
2016-01-01 00:00:00,0,0,3.5596961975097656,4.218137014777376,1.125345567423997,-5.223532539830877,-2.0635239769717373,4.153970068342071,0.0,-1.125345567423997
2016-01-01 00:00:01,1.125345567423997,0,0.06205558776855469,4.218137014777376,1.125345567423997,-5.223532539830877,-2.0635239769717373,4.153970068342071,0.0,-1.125345567423997
2016-01-01 00:15:00,1.125345567423997,0,10.520054578781128,3.753031847802021,1.6104535850541346,-4.474345631120258,-2.1224091009885986,4.417392726603666,0.0,-1.6104535850541346
2016-01-01 00:15:01,1.6104535850541346,0,0.06994962692260742,3.753031847802021,1.6104535850541346,-4.474345631120258,-2.1224091009885986,4.417392726603666,0.0,-1.6104535850541346
2016-01-01 00:30:00,1.6104535850541346,0,8.049837350845337,3.507331283624581,0.04139527345904344,-2.182485268189538,-5.729697854772731,4.40491978255009,0.0,-0.04139527345904344
2016-01-01 00:30:01,0.04139527345904344,0,0.06297159194946289,3.507331283624581,0.04139527345904344,-2.182485268189538,-5.729697854772731,4.40491978255009,0.0,-0.04139527345904344
2016-01-01 00:45:00,0.04139527345904344,0,10.210567474365234,4.075053236918285,0.04999402436718487,-6.336465220884158,-2.1355613858915348,4.400767189410798,0.0,-0.04999402436718487
2016-01-01 00:45:01,0.04999402436718487,0,0.06416034698486328,4.075053236918285,0.04999402436718487,-6.336465220884158,-2.1355613858915348,4.400767189410798,0.0,-0.04999402436718487
2016-01-01 01:00:00,0.04999402436718487,0,11.458150148391724,4.136015917124718,-3.88400885219025,-2.052472812428263,-9.650889791283923,3.6160728543779737,0.0,3.88400885219025
2016-01-01 01:00:01,0,3.88400885219025,0.06676030158996582,4.136015917124718,-3.88400885219025,-2.052472812428263,-9.650889791283923,3.6160728543779737,0.0,3.88400885219025
