date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-1-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-4-value,GridSim-0.Bus-2-value,GridSim-0.Bus-5-value,GridSim-0.Bus-0-value,GridSim-0.Bus-3-value
2016-01-01 00:00:00,0,0,2.5793943405151367,0.0,0.036975507795462964,4.153970068342071,4.218137014777376,-4.306542728746976,-0.036975507795462964,-4.070312605644055
2016-01-01 00:00:01,0.036975507795462964,0,0.13021230697631836,0.0,0.036975507795462964,4.153970068342071,4.218137014777376,-4.306542728746976,-0.036975507795462964,-4.070312605644055
2016-01-01 00:15:00,0.036975507795462964,0,7.734193801879883,0.0,0.04784091118197478,4.417392726603666,3.753031847802021,-4.078434410592635,-0.04784091118197478,-4.084480824082526
2016-01-01 00:15:01,0.04784091118197478,0,0.1396322250366211,0.0,0.04784091118197478,4.417392726603666,3.753031847802021,-4.078434410592635,-0.04784091118197478,-4.084480824082526
2016-01-01 00:30:00,0.04784091118197478,0,7.282259941101074,0.0,-0.26224477003759333,4.40491978255009,3.507331283624581,-3.359648387211145,0.26224477003759333,-4.855022583081237
2016-01-01 00:30:01,0,0.26224477003759333,0.12956666946411133,0.0,-0.26224477003759333,4.40491978255009,3.507331283624581,-3.359648387211145,0.26224477003759333,-4.855022583081237
2016-01-01 00:45:00,0,0.26224477003759333,7.044147253036499,0.0,-1.2685086580566407,4.400767189410798,4.075053236918285,-3.8777637517428687,1.2685086580566407,-5.915171226074101
2016-01-01 00:45:01,0,1.2685086580566407,0.19107842445373535,0.0,-1.2685086580566407,4.400767189410798,4.075053236918285,-3.8777637517428687,1.2685086580566407,-5.915171226074101
2016-01-01 01:00:00,0,1.2685086580566407,7.127792119979858,0.0,-0.7403386143055813,3.6160728543779737,4.136015917124718,-3.5798476083481745,0.7403386143055813,-4.95319875495337
2016-01-01 01:00:01,0,0.7403386143055813,0.15405654907226562,0.0,-0.7403386143055813,3.6160728543779737,4.136015917124718,-3.5798476083481745,0.7403386143055813,-4.95319875495337
