date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-1-value,GridSim-0.Bus-5-value,GridSim-0.Bus-3-value,GridSim-0.Bus-0-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-2-value,GridSim-0.Bus-4-value
2016-01-01 00:00:00,0,0,0.12499785423278809,0.0,-4.301892720185497,-4.070214362933953,-0.041706374200774395,0.041706374200774395,4.218137014777376,4.153970068342071
2016-01-01 00:00:01,0.041706374200774395,0,0.046877145767211914,0.0,-4.301892720185497,-4.070214362933953,-0.041706374200774395,0.041706374200774395,4.218137014777376,4.153970068342071
2016-01-01 00:15:00,0.041706374200774395,0,0.1250014305114746,0.0,-4.081087411503116,-4.08933716290257,-0.040357690070923366,0.040357690070923366,3.753031847802021,4.417392726603666
2016-01-01 00:15:01,0.040357690070923366,0,0.046874046325683594,0.0,-4.081087411503116,-4.08933716290257,-0.040357690070923366,0.040357690070923366,3.753031847802021,4.417392726603666
2016-01-01 00:30:00,0.040357690070923366,0,0.10939311981201172,0.0,-3.357440156003223,-4.554810910171447,-0.03895892081494884,0.03895892081494884,3.507331283624581,4.40491978255009
2016-01-01 00:30:01,0.03895892081494884,0,0.0624997615814209,0.0,-3.357440156003223,-4.554810910171447,-0.03895892081494884,0.03895892081494884,3.507331283624581,4.40491978255009
2016-01-01 00:45:00,0.03895892081494884,0,0.1250324249267578,0.0,-3.8783502117992947,-4.597470214529789,-0.042576961758747346,0.042576961758747346,4.075053236918285,4.400767189410798
2016-01-01 00:45:01,0.042576961758747346,0,0.06250309944152832,0.0,-3.8783502117992947,-4.597470214529789,-0.042576961758747346,0.042576961758747346,4.075053236918285,4.400767189410798
2016-01-01 01:00:00,0.042576961758747346,0,0.15624594688415527,0.0,-3.57537206004776,-4.176716711454931,-0.037538184725125316,0.037538184725125316,4.136015917124718,3.6160728543779737
2016-01-01 01:00:01,0.037538184725125316,0,0.06249809265136719,0.0,-3.57537206004776,-4.176716711454931,-0.037538184725125316,0.037538184725125316,4.136015917124718,3.6160728543779737
