cells_count,hierarchy_depth,sim_time
5,1,803.1162188053131
5,1,793.645204782486
5,1,794.5381848812103
5,1,793.5615375041962
5,1,789.8810575008392
5,2,738.9468097686768
5,2,732.9156844615936
5,2,742.2388005256653
5,2,736.3178596496582
5,2,736.8680565357208
5,3,738.1860103607178
5,3,735.4722335338593
5,3,739.269483089447
5,3,732.1727004051208
5,3,737.2727236747742
5,4,753.5679924488068
5,4,756.883683681488
5,4,753.6033656597137
5,4,752.0078194141388
5,4,751.8006381988525
5,5,769.5484075546265
5,5,771.8066945075989
5,5,776.6294355392456
5,5,783.7121505737305
5,5,772.3287620544434
5,6,814.8441867828369
5,6,804.3322834968567
5,6,795.6141612529755
5,6,795.26811003685
5,6,806.8112254142761
5,7,834.3689031600952
5,7,828.7476181983948
5,7,837.0251953601837
5,7,832.6600630283356
5,7,829.1460063457489
5,8,859.3983609676361
5,8,860.5250976085663
5,8,856.9503350257874
5,8,858.159943819046
5,8,867.3531823158264
5,9,901.2587642669678
5,9,993.9928612709045
5,9,896.11279296875
5,9,1014.5231432914734
5,9,1011.8842506408691
5,10,1026.2800488471985
5,10,986.9272210597992
5,10,977.113712310791
5,10,1023.5591189861298
5,10,1000.8934886455536
10,1,1847.8977217674255
10,1,1877.6847870349884
10,1,1899.1121573448181
10,1,1886.6271653175354
10,1,1877.555403470993
10,2,1763.5146057605743
10,2,1749.5908291339874
10,2,1730.7734472751617
10,2,1690.9388074874878
10,2,1682.8692588806152
10,3,1671.330567598343
10,3,1684.0505747795105
10,3,1693.593167066574
10,3,1677.6046919822693
10,3,1671.9297840595245
10,4,1711.5195667743683
10,4,1715.2113647460938
10,4,1731.2269098758698
10,4,1730.059709072113
10,4,1733.1690113544464
10,5,1758.1137413978577
10,5,1770.6501171588898
10,5,1767.2896490097046
10,5,1774.4982414245605
10,5,1765.8584134578705
10,6,1831.1667160987854
10,6,1848.6941220760345
10,6,1818.424728155136
10,6,1833.0224452018738
10,6,1830.675936460495
10,7,1891.155827999115
10,7,1893.4772338867188
10,7,1889.45392203331
10,7,1895.4833040237427
10,7,1904.9068167209625
10,8,2001.5500209331512
10,8,1969.5037639141083
10,8,1962.8826611042023
10,8,1972.8091564178467
10,8,1969.6304314136505
10,9,2047.712973833084
10,9,2053.950152158737
10,9,2174.9892115592957
10,9,2219.300313472748
10,9,2270.0193481445312
10,10,2246.8103637695312
10,10,2221.5433127880096
10,10,2254.9784927368164
10,10,2209.1671752929688
10,10,2260.128261566162
15,1,3250.5384423732758
15,1,3116.4143369197845
15,1,2955.6088874340057
15,1,3011.3903892040253
15,1,2975.86630487442
15,2,2801.792570590973
15,2,2813.4918806552887
15,2,2786.7955367565155
15,2,2813.5977380275726
15,2,2816.975557565689
15,3,2843.0485298633575
15,3,2827.7279291152954
15,3,2859.9560403823853
15,3,2823.518145084381
15,3,2798.701409816742
15,4,2900.97399353981
15,4,2893.3705337047577
15,4,2855.0026440620422
